Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Connor Norby,3B,MIA,3500,6.99792934248016,ML_Model,6.99792934248016,6.7,59.9%,35.4%,15.9%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Austin Martin,OF,MIN,3500,6.9943854346664125,ML_Model,6.9943854346664125,7.0,59.8%,35.4%,15.8%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Cody Bellinger,OF,NYY,5100,6.989899370336559,ML_Model,6.989899370336559,8.4,59.8%,35.3%,15.8%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Rowdy Tellez,1B,TEX,2700,6.979832398117798,ML_Model,6.979832398117798,1.5,59.8%,35.3%,15.8%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Dominic Canzone,OF,SEA,3300,6.97941209435229,ML_Model,6.97941209435229,1.5,59.8%,35.3%,15.8%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Cam Smith,OF,HOU,2900,6.959301317577258,ML_Model,6.959301317577258,1.5,59.7%,35.2%,15.7%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Andy Pages,OF,LAD,3800,6.944541653345312,ML_Model,6.944541653345312,8.4,59.6%,35.1%,15.7%,5.1%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Mike Trout,OF,LAA,4800,6.923908254882004,ML_Model,6.923908254882004,9.6,59.5%,35.0%,15.6%,5.1%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Jordan Walker,OF,STL,2500,6.914012760044133,ML_Model,6.914012760044133,5.9,59.5%,35.0%,15.6%,5.1%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Bob Seymour,1B,TB,2800,6.892139360477471,ML_Model,6.892139360477471,1.5,59.3%,34.9%,15.5%,5.1%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Drew Gilbert,OF,SF,3400,6.851218127570277,ML_Model,6.851218127570277,4.7,59.1%,34.7%,15.4%,5.0%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Trevor Story,SS,BOS,5100,6.80439141905054,ML_Model,6.80439141905054,7.9,58.9%,34.5%,15.3%,5.0%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Derek Hill,OF,MIA,3500,6.7734686690956005,ML_Model,6.7734686690956005,1.5,58.8%,34.3%,15.2%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Cody Freeman,2B,TEX,2900,6.763778469504997,ML_Model,6.763778469504997,6.3,58.7%,34.3%,15.2%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Michael Helman,OF,TEX,3800,6.738724293924932,ML_Model,6.738724293924932,1.5,58.6%,34.2%,15.1%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Romy Gonzalez,1B,BOS,4200,6.7231090720335285,ML_Model,6.7231090720335285,6.6,58.5%,34.1%,15.0%,4.8%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Nolan Jones,OF,CLE,2300,6.722897045944989,ML_Model,6.722897045944989,2.2,58.5%,34.1%,15.0%,4.8%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Victor Robles,OF,SEA,3000,6.701197328984568,ML_Model,6.701197328984568,6.5,58.4%,34.0%,15.0%,4.8%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Colson Montgomery,SS,CWS,4300,6.697660729373273,ML_Model,6.697660729373273,7.1,58.4%,34.0%,15.0%,4.8%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Christian Koss,2B,SF,2400,6.607428541798498,ML_Model,6.607428541798498,1.5,58.0%,33.6%,14.7%,4.7%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Lars Nootbaar,OF,STL,3600,6.601524823629147,ML_Model,6.601524823629147,7.0,57.9%,33.5%,14.7%,4.7%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Tyler Freeman,2B,COL,3900,6.553193885588755,ML_Model,6.553193885588755,9.2,57.7%,33.3%,14.6%,4.6%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Braxton Fulford,C,COL,3100,6.548139982059632,ML_Model,6.548139982059632,1.5,57.7%,33.3%,14.5%,4.6%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Ernie Clement,2B,TOR,3200,6.546580230233106,ML_Model,6.546580230233106,6.7,57.7%,33.3%,14.5%,4.6%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
